Метро,lat,lon
Девяткино,                  60.05042281243905, 30.44254689569443
Гражданский проспект,       60.03355205166862, 30.4180115100424
Академическая,60.012922546617716, 30.3964085529501
Политехническая, 60.00987143371344, 30.374419073357704
Площадь Мужества,  59.99975919590672, 30.366116180061915
Лесная,59.98485891190697, 30.344400889576324
Выборгская,  59.97104268103592, 30.347821566565198
Площадь Ленина,59.957223545322286, 30.35593662763598
Чернышевская,  59.944611522802504, 30.360288620253968
Площадь Восстания-Маяковская, 59.93159643002365, 30.360809220253085
Владимирская-Достоевская,  59.92888224209173, 30.348138941129015
Пушкинская-Звенигородская, 59.921286387050664, 30.33307010064379
Технологический институт,  59.91641049403756, 30.318915829478474
Балтийская,  59.907922941290366, 30.30320521840618
Нарвская,  59.90012654222898, 30.27482479511499
Кировский завод, 59.87820092582423, 30.261451930054736
Автово,  59.86875898294118, 30.257160212712403
Ленинский проспект, 59.85078674698685, 30.269350608041155
Проспект Ветеранов,  59.841992575460544, 30.25271800434633
Парнас, 60.06693851506547, 30.334255929067524
Проспект Просвещения,60.05161252787859, 30.333846596407966
Озерки,60.03554114547568, 30.32153124640687
Удельная,  60.01812882001304, 30.319172819459517
Пионерская,60.004317863513016, 30.296632623948536
Чёрная речка,59.98556844317917, 30.30156803745034
Петроградская,59.96642767232927, 30.311687450943136
Горьковская,  59.95632679327289, 30.319079957676472
Садовая-Спасская-Сенная площадь,  59.927438241524584, 30.319763235599233
Фрунзенская,  59.90553747401061, 30.318601775515507
Московские ворота,  59.892537320671586, 30.318308423949752
Электросила, 59.879994454911085, 30.31925691684297
Парк Победы,  59.86642045709663, 30.322262402218673
Московская, 59.85118819149586, 30.322811608605747
Звёздная,  59.83294590447613, 30.351871087840813
Купчино, 59.82974481511217, 30.375891150933757
Беговая,59.98739120492812, 30.20273679512108
Зенит,  59.97201924728963, 30.21215686259059
Приморская,  59.94885435675739, 30.238327943860195
Василеостровская,  59.94294522072144, 30.279115145118006
Гостиный двор-Невский проспект,  59.93434350080277, 30.33068678023061
Площадь Александра Невского,  59.92335925576674, 30.387110221257956
Елизаровская,  59.89811040332248, 30.421917489573662
Ломоносовская,  59.877405601597296, 30.442269454919998
Пролетарская,  59.86626031656388, 30.46739733115414
Обухово,  59.85041741615257, 30.458917608605763
Рыбацкое,  59.83090367671886, 30.500954727639662
Горный институт, 59.932645, 30.261162
Лиговский проспект,  59.92086796632394, 30.355537579493003
Новочеркасская,  59.92906479320019, 30.412653500093576
Ладожская,  59.93193193401923, 30.44123333049397
Проспект Большевиков,  59.92126378940303, 30.464596391011643
Улица Дыбенко,  59.90751545091462, 30.483908223668514
Комендантский проспект,  60.01059198162139, 30.256795563157695
Старая Деревня,  59.98762837209115, 30.256404489015267
Крестовский остров,  59.970957881073005, 30.262546946684658
Чкаловская,  59.960979707911136, 30.291916286166217
Спортивная,  59.95152333568666, 30.292415469013218
Адмиралтейская,  59.93596984736271, 30.31550748901168
Обводный канал, 59.91309989552812, 30.35200637366894
Волковская,  59.89637039997624, 30.359523798655605
Бухарестская,  59.88262326042725, 30.370753725796156
Международная,59.87055042594627, 30.38006341840379
Проспект Славы,  59.856333953594, 30.396097949083092
Дунайская,  59.840026220406735, 30.410904303061468
Шушары, 59.820122059105515, 30.433122133744735
