Цена (млн руб),Адрес,lat,lng,Вид объекта,Срок сдачи,Количество комнат,Этаж,Этажей в доме,Площадь,Метро,До метро,До центра
6.45,"ул. Белы Куна, 21к1",59.875506,30.395549,Вторичка,,2,4,5,45.0,Международная,1.0253033975266665,7.4778213157537925
5.5,"ул. Матроса Железняка, 43",59.998765,30.313883,Вторичка,,1,4,5,30.0,Пионерская,1.140966697250549,7.226399503764854
10.0,"Богатырский пр-т, 5к1",60.000636,30.292656,Вторичка,,2,4,9,51.0,Пионерская,0.4654262336445082,7.671626546133234
4.7,"территория Усть-Славянка, Советский пр-т, 34к3",59.828215,30.554398,Вторичка,,Студия,14,25,24.0,Рыбацкое,3.0024752122657086,17.183048244359302
3.2,"Заневский проспект, 65 к1, Санкт-Петербург",59.93008,30.433465,Вторичка,1987.0,2,1,5,50.0,Ладожская,0.47944284448854274,5.7473094333073425
9.613,"ул. Ивинская, д. 15, стр. 1",60.03166,30.13132,Новостройка,2023.0,2,1,17,52.0,Беговая,6.3255271152011545,15.499493832312892
5.8,"пос. Парголово, Толубеевский пр., 26к1",60.080896,30.352807,Вторичка,,Студия,21,27,25.0,Парнас,1.8627684110742904,16.347343820347028
8.5,"ул. Маршала Казакова, 78к1",59.86892682133285,30.16579956524012,Вторичка,,1,23,25,38.0,Автово,5.101180819487866,11.727624334555436
9.15,"9-я Красноармейская ул., 9",59.914191,30.303265,Вторичка,,1,2,5,36.0,Балтийская,0.6972030950139775,2.713126136203955
8.5,"Ржевка, Окраинная, 9 лит К",59.983203,30.523865,Вторичка,,2,6,7,60.0,Ладожская,7.327758749879345,12.051873555891738
8.2,"Муниципальный округ №65, Туристская улица, 10 к1",59.990901,30.202892,Вторичка,,1,8,16,45.0,Беговая,0.3904893960509495,9.497525116157712
9.8,"Муниципальный округ №65, Туристская улица, 10 к1",59.990901,30.202892,Вторичка,,1,9,16,32.0,Беговая,0.3904893960509495,9.497525116157712
8.5,"Юго-Запад, Ленинский проспект, 92 к3",59.857196,30.215284,Вторичка,,2,9,16,51.0,Автово,2.6689221273656947,10.72787656603649
8.8,"Муниципальный округ №54, улица Дыбенко, 7 к2 ст1",59.899382,30.456583,Вторичка,,1,4,19,34.0,Улица Дыбенко,1.772400203357958,8.0245233096845
8.8,"Сосновское, проспект Луначарского, 11 к1 лит А",60.042779,30.328767,Вторичка,,1,12,27,38.0,Озерки,0.899825240602464,12.061735374461227
8.2,"Правобережный, улица Еремеева, 7 к2",59.919508,30.435456,Вторичка,,1,4,16,42.0,Ладожская,1.4189370820157126,6.068269374638106
8.4,"Муниципальный округ №15, проспект Просвещения, 62",60.046571,30.368446,Вторичка,,2,3,9,46.0,Проспект Просвещения,2.0015462452167916,12.658549161345189
8.5,"Обуховский, улица Шелгунова, 7 к1",59.866749,30.459727,Вторичка,,1,4,12,43.0,Пролетарская,0.43174056936819616,10.408706334567286
8.5,"Сампсониевское, Лесной проспект, 73",59.988329,30.342207,Вторичка,,1,2,5,31.0,Лесная,0.4048181421883671,6.038961083923387
8.5,"Муниципальный округ №65, Богатырский проспект, 58 к2",60.006193,30.205585,Вторичка,,1,14,17,39.0,Беговая,2.0973120494324315,10.600146757842694
9.8,"Гагаринское, проспект Космонавтов, 102 к3",59.831044,30.364787,Вторичка,,1,14,17,37.0,Купчино,0.6373193553895732,11.646542513601686
9.5,"Академическое, проспект Науки, 12 к8",60.016301,30.394071,Вторичка,,2,5,5,48.0,Академическая,0.3976179365226746,9.774893092734805
22.665,"Шувалово-Озерки, Шостаковича, 1стр",60.059969,30.328581,Вторичка,,3,6,15,86.15,Парнас,0.8367742594088223,13.973794170674173
9.0,"Северный, проспект Культуры, 29 к1 лит А",60.049527,30.380646,Вторичка,,2,7,9,46.0,Проспект Просвещения,2.6090977114818172,13.109803869020945
8.5,"Северный, проспект Культуры, 15 к3",60.041442,30.374606,Вторичка,,2,5,5,44.0,Проспект Просвещения,2.5305803062587704,12.160562180653589
9.4,"Правобережный, улица Ворошилова, 25 к1",59.931375,30.457351,Вторичка,,1,18,22,44.0,Ладожская,0.9003678448595804,7.066430246190119
9.8,"Юнтолово, Планерная улица, 79",60.027076,30.210744,Вторичка,,2,9,10,58.0,Комендантский проспект,3.148621322464513,12.285772214089402
9.8,"Петровский, Мончегорская, 10Б / Малый проспект П.С., 25",59.957521,30.293833,Вторичка,,1,1,8,25.0,Чкаловская,0.39924185207565527,3.295590482192309
8.6,"Юнтолово, Арцеуловская аллея, 9 ст1",60.036679,30.195223,Вторичка,,1,2,12,46.0,Комендантский проспект,4.486539605268108,13.651924352284805
8.3,"Нарвский, Гладкова, 31 / Севастопольская, 7",59.896247,30.264267,Вторичка,,2,1,2,48.0,Нарвская,0.7301399419322749,5.627715920054691
8.5,"Светлановское, Новороссийская улица, 14",59.997658,30.336916,Вторичка,,2,2,5,44.0,Лесная,1.4832820493232264,7.0509946253577045
8.4,"Обуховский, улица Бабушкина, 84 к2 ст1",59.86313,30.464248,Вторичка,,1,21,26,33.0,Пролетарская,0.39007852530975945,10.874578922654704
8.8,"Прометей, Учительская, 17 к2 лит А",60.031503,30.398613,Вторичка,,2,1,5,45.0,Гражданский проспект,1.1016202366861,11.44892158061983
8.2,"Гагаринское, Витебский проспект, 81 к1",59.839009,30.366282,Вторичка,,1,7,9,34.0,Звёздная,1.050491658933166,10.788487639854608
9.5,"Гагаринское, проспект Космонавтов, 64",59.840016,30.359187,Вторичка,,2,8,9,47.0,Звёздная,0.8863517045698666,10.61189113330243
8.7,"Южно-Приморский, Ленинский проспект, 84 к2",59.859,30.199192,Вторичка,,1,12,17,39.0,Автово,3.414301629436253,11.137649220607871
9.8,"Полюстрово, Корнея Чуковского, 3 к4 ст1",60.027748,30.45599,Вторичка,,2,20,24,57.0,Гражданский проспект,2.2067573449749855,12.512300196503253
8.8,"Первомайская, 16 / Окуловская улица, 2",59.807079,30.374034,Вторичка,,1,11,12,56.0,Купчино,2.523252899622906,14.361004878870208
9.4,"Невский, Ультрамариновая улица, 4 ст1 / Октябрьская набережная, 34 к2 ст1",59.905297,30.438395,Вторичка,,1,13,14,30.0,Елизаровская,1.2180964340269467,6.818700825551762
